CompoundID,InChIKey,SMILES,logS,logP,MW
C1890,WLCFKPHMRNPAFZ-UHFFFAOYSA-M,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(C)C.[Cl-],-7.903704189,5.9086,418.183
C1942,QITKNQKNNKBEPG-UHFFFAOYSA-N,OC(c1cccc(n1)C(c1ccccc1)(c1ccccc1)O)(c1ccccc1)c1ccccc1,-7.543134936,5.65,443.536
C55,QGDKRLQRLFUJPP-UHFFFAOYSA-N,Clc1cc(Cl)c(c(c1c1ccccc1Cl)Cl)Cl,-7.4299998,6.6206,326.433
C68,VTLYHLREPCPDKX-UHFFFAOYSA-N,Clc1c(Cl)cccc1c1cccc(c1Cl)Cl,-7.2800002,5.9672,291.988
C73,AIURIRUDHVDRFQ-UHFFFAOYSA-N,Clc1ccccc1c1cc(Cl)c(c(c1Cl)Cl)Cl,-7.21,6.6206,326.433
C74,JTUSORDQZVOEAZ-UHFFFAOYSA-N,Clc1cc(Cl)c(cc1c1cccc(c1Cl)Cl)Cl,-7.21,6.6206,326.433
C80,AUGNBQPSMWGAJE-UHFFFAOYSA-N,Clc1ccc(c(c1Cl)Cl)c1cccc(c1Cl)Cl,-7.0500002,6.6206,326.433
C2109,QGQNYQWNUGSMAB-UHFFFAOYSA-N,C1CCC(CC1)Nc1c2ccccc2nc2c1cccc2,-6.782546484,5.2056,276.375
C112,ALDJIKXAHSDLLB-UHFFFAOYSA-N,Clc1ccc(c(c1)c1cccc(c1Cl)Cl)Cl,-6.4699998,5.9672,291.988
C123,RIMXLXBUOQMDHV-UHFFFAOYSA-N,Clc1cc(ccc1Cl)c1ccccc1Cl,-6.29,5.3138,257.543
C2276,GFUKPDBFDRKRRO-YXLFCKQPSA-N,c1cc(/C=C/c2ccccc2)nc(c1)/C=C/c1ccccc1,-6.276268726,5.4224,283.366
C125,VGVIKVCCUATMNG-UHFFFAOYSA-N,Clc1cc(Cl)c(cc1c1ccccc1)Cl,-6.27,5.3138,257.543
C2296,LNVQBBHYPGFSMX-UHFFFAOYSA-N,c1ccc(cc1)Nc1c2ccccc2nc2c1cccc2,-6.225076385,5.2046,270.328
C140,DCMURXAZTZQAFB-UHFFFAOYSA-N,Clc1ccc(c(c1)c1ccccc1Cl)Cl,-6.02,5.3138,257.543
C2499,YHGAGMNSWODGFY-UHFFFAOYSA-N,Nc1c2cc(ccc2nc2c1cccc2)c1ccccc1,-5.839725504,5.2184,270.328
C2948,UPUDZFFFZRSNAE-UHFFFAOYSA-N,Nc1ccc(cc1)c1c2ccccc2nc2c1ccc(c2)N,-5.165343281,5.3818,285.343
C3291,DSEVZPBSGUGCAY-UHFFFAOYSA-N,CCN(CC(c1ccc2c(c1)c1ccccc1cc2)O)CC.Cl,-4.747488189,5.1702,329.864
C3969,PSCSJABYVDGLPH-UHFFFAOYSA-L,[O-]S(=O)c1ccc2c(c1)c(SSSc1cccc3c1cc(cc3)S(=O)[O-])ccc2.[Na+].[Na+],-4.125985983,7.648,522.611
