CompoundID,InChIKey,SMILES,logS,logP,MW
C29,FTOVXSOBNPWTSH-UHFFFAOYSA-N,c1ccc2c(c1)c1cc3ccccc3c3c1c2ccc3,-8.2299995,5.6404,252.309
C1862,HQVZOORKDNCGCK-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)Cc1cc(ccc1O)C(CC(C)(C)C)(C)C,-8.224437629,7.0036,365.337
C1863,KBNIFDASRCWYGC-GXNXWABVSA-J,Cc1cc(ccc1N/N=C/1\C=Cc2c(C1=O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-])c1ccc(c(c1)C)N/N=C/1\C=Cc2c(C1=O)c(N)c(cc2S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],-8.212514549,7.738,960.805
C1865,FIERVDLXKNFTPK-UHFFFAOYSA-N,CC(Nc1ccnc2c1ccc(c2)Cl)CN1CCN(CC1)CC(Nc1ccnc2c1ccc(c2)Cl)C,-8.19387684,6.0302,523.5
C1866,BRZHTUISXPQTLF-QYEGGRDRSA-N,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@H]([C@@]2([C@]1(C)CC[C@@H](C2)OC(=O)CCC(=O)O)O)OC(=O)C)C)C,-8.180970934,6.5408,562.778
C1867,MRLUSTSQCUMQPV-UHFFFAOYSA-N,N(CC1CCC(CC1)CNCCC1CCCCC1)CCC1CCCCC1.Cl.Cl,-8.178152151,8.2986,435.557
C1868,MKUZQGZKPPDJFJ-UHFFFAOYSA-N,C1CCCCCC(C1)NCC1CCC(CC1)CNC1CCCCCCC1.Cl.Cl,-8.178152151,8.5836,435.557
C1870,UDKVBVICMUEIKS-UHFFFAOYSA-N,CCN(CCCC(Nc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)C)CC.Cl.Cl,-8.15755413,7.6494,472.879
C1873,AHPSBPRPKMMFHX-UHFFFAOYSA-N,C1CCC(CC1)CCNCC1CCC(=CC1)CNCCC1CCCCC1.CC(=O)O.CC(=O)O,-8.135362184,6.7965,480.723
C1882,PRMOCPYCVSHNMG-UHFFFAOYSA-N,BrCCN(c1ccc(cc1)OC(=O)c1ccccc1C(C)C)CCBr,-8.040945873,5.6254,469.21
C38,INISTDXBRIBGOC-BJKOFHAPSA-N,N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H](C(C)C)Nc1ccc(cc1Cl)C(F)(F)F,-8,7.46868,502.913
C1889,ZTACEXAAXMFRGD-UHFFFAOYSA-N,Cc1ccccc1CN1CCN(CC1)CCOC(c1ccccc1Cl)c1ccccc1.Cl.Cl,-7.945376259,7.052,507.923
C1891,VRNDXFKUQLCBRG-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OCCCN1CCCCC1C,-7.903584094,6.4331,367.609
C1893,WPRUOIPXURAXBE-UHFFFAOYSA-N,CN(CCC=C1c2cc(Br)ccc2Sc2c1cc(Br)cc2)C.Cl,-7.901328682,6.8616,475.668
C1895,OYTINQKRJLYRPF-UHFFFAOYSA-N,Brc1ccc(cc1)CNCC1CCC(CC1)CNCc1ccc(cc1)Br.Cl.Cl,-7.899652518,8.2832,553.201
C1896,MMYHZEDBTMXYAF-UHFFFAOYSA-N,Brc1cc(Br)c(c(c1)c1cc(Br)cc(c1O)Br)OP(=O)(O)O,-7.895697951,5.5807,581.771
C1897,GGGATFRVOBEKQO-UHFFFAOYSA-N,Brc1cc(O)c(c(c1)Br)c1c(Br)cc(cc1OP(=O)(O)O)Br,-7.89552185,5.5807,581.771
C1903,VOCBWIIFXDYGNZ-IXKNJLPQSA-N,CCCCCCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.867914368,6.4005,400.594
C1904,YMSBKLBNDJAACW-UHFFFAOYSA-N,FC(c1ccc2c(c1)N(CCCNCCN1CCOCC1)c1c(S2)cccc1)(F)F.Cl,-7.866203051,5.8158,473.982
C1906,MBHNWCYEGXQEIT-UHFFFAOYSA-N,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F.Cl.Cl,-7.829998608,5.8529,510.443
C1908,XRCJOMAARACHTL-UHFFFAOYSA-N,CCCCCCCC(C(=O)OCC)CCCCCCC,-7.821600569,5.8867,284.477
C1910,JJWKNGOUNQRAIP-UHFFFAOYSA-N,BrCCN(c1ccc(cc1)OC(=O)c1ccc(cc1)C(F)(F)F)CCBr,-7.808232024,5.5208,495.128
C1911,TYUMAYSMJLPFAN-UHFFFAOYSA-N,COc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O)O,-7.788082722,5.437,552.484
C1913,GGEQGDSOSYWSPU-UHFFFAOYSA-N,FC(c1ccc2c(c1)N(CCCN1CCN(CC1)CCC1OCCCO1)c1c(S2)cccc1)(F)F.OC(=O)CCC(=O)O.OC(=O)CCC(=O)O,-7.750877566,5.2813,743.787
C1914,WAGUNVVOQBKLDL-UHFFFAOYSA-J,O=S(=O)(c1ccc(cc1)NC(S(=O)(=O)[O-])CC(S(=O)(=O)[O-])c1ccccc1)c1ccc(cc1)NC(S(=O)(=O)[O-])CC(S(=O)(=O)[O-])c1ccccc1.[Na+].[Na+].[Na+].[Na+],-7.730914114,7.989,892.832
C1915,QAZKXHSIKKNOHH-UHFFFAOYSA-N,Clc1ccc2c(c1)N(CCCN1CCC(CC1)(C(=O)N)N1CCCCC1)c1ccccc1CC2,-7.729425753,5.4137,481.073
C1917,ZCTJIMXXSXQXRI-KYJUHHDHSA-N,COc1cc2c(cc1Oc1cc(OC)c(cc1C[C@@H]1N(C)CCc3c1cc(OC)c(c3)OC)OC)C[C@H]1c3c2c(OC)c(OC)cc3CCN1C,-7.726858108,6.9387,696.828
C1918,OGBUMNBNEWYMNJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCOCC(CO)O,-7.720717358,5.6177,344.572
C1919,APTGJECXMIKIET-WOSSHHRXSA-N,CCCCCCC(=O)O[C@@]1(C#C)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@H]12,-7.701194763,6.0138,410.589
C1922,IQLOSBYZJUGSKB-UHFFFAOYSA-N,C#CC(c1ccc(cc1)F)(c1ccc(cc1)F)OC(=O)NC1CCCCCC1,-7.659416997,5.6815,383.431
C1924,MCCACAIVAXEFAL-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)COC(c1ccc(cc1Cl)Cl)Cn1cncc1.[O-][N+](=O)O,-7.635134927,6.6303,479.141
C1926,TZYLXYZBEHLNSG-UHFFFAOYSA-N,BrCCN(c1ccc(cc1)OC(=O)c1c(C)cccc1C)CCBr,-7.628808935,5.1188,455.184
C1927,KCKFGJBLLWMFIL-UHFFFAOYSA-L,Clc1ccc(c(c1)S(=O)[O-])c1ccc(c(c1)SSSc1cc(ccc1Cl)c1ccc(cc1S(=O)[O-])Cl)Cl.[Na+].[Na+].O.O.O,-7.624430017,11.0963,766.512
C1930,RMHWROMEMLMRSO-UHFFFAOYSA-N,BrCCN(c1ccc(cc1)OC(=O)c1ccccc1CC)CCBr,-7.582645751,5.0644,455.184
C1932,BYBLEWFAAKGYCD-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)COC(c1ccc(cc1Cl)Cl)Cn1cncc1,-7.57233652,6.4548,416.129
C1933,PVTZHDYDAGYCAX-UHFFFAOYSA-N,Clc1ccc(cc1)C1CCc2c(N(C1)CCCN(C(C)C)C(C)C)cccc2,-7.567569831,6.4503,399.012
C1943,MDFZYGLOIJNNRM-OAJDADRGSA-N,CC(=O)O[C@H]1C[C@]2([C@H](/C/1=C(/C(=O)O)\CCC=C(C)C)CC[C@@H]1[C@]2(C)C(=O)[C@@H](OC(=O)C)[C@@H]2[C@]1(C)C=CC(=O)[C@H]2C)C,-7.53845872,5.4001,568.698
C1949,UFFFQSODDRXNMI-UHFFFAOYSA-N,CCCCOc1ccc(cc1)OCC(=O)N(c1cc(OCC)ccc1OCC)CCN(CC)CC.Cl,-7.514473886,6.2187,523.104
C1952,CIMQMKORBAJNEC-UHFFFAOYSA-N,CC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F.Cl.Cl,-7.487042507,6.4237,552.48
C1954,CKHJPWQVLKHBIH-ZDSKVHJSSA-N,O=CN(/C(=C(\SS/C(=C(\N(Cc1cnc(nc1N)C)C=O)/C)/CCOC(=O)C(C)C)/CCOC(=O)C(C)C)/C)Cc1cnc(nc1N)C,-7.466676129,7.122,702.888
C1956,ICQVNPHZLORXIG-UHFFFAOYSA-N,Clc1ccc(cc1)C1CCc2c(N(C1=O)CCCN(C(C)C)C(C)C)cccc2,-7.45159931,5.9769,412.995
C1957,BWYQRNCUKAFTOU-UHFFFAOYSA-N,Clc1ccc(c(c1)Sc1ccc(cc1)Cl)NCCCN1CCCC1.Clc1ccc(c(c1)Sc1ccc(cc1)Cl)NCCCN1CCCC1.Cl.Cl.O,-7.449836702,13.6463,853.662
C1958,IWXAZSAGYJHXPX-LYWFMZLMSA-N,O=CN(/C(=C(\SS/C(=C(\N(Cc1cnc(nc1N)C)C=O)/C)/CCOC(=O)c1ccccc1)/CCOC(=O)c1ccccc1)/C)Cc1cnc(nc1N)C,-7.430949347,8.4376,770.92
C1959,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,CCCCCc1cc(O)c(c(c1)O)[C@@H]1C=C(C)CC[C@H]1C(=C)C,-7.412287248,5.8465,314.462
C1963,KFXRYHOEBZEYSV-UHFFFAOYSA-N,C=CCNc1cnnc(c1)N1CCN(CC1)CCC(c1ccccc1)(c1ccccc1)c1ccccc1.Cl.Cl,-7.384698627,7.3011,562.576
C1966,XQDSMZHQEGMUCW-CYBPKNTASA-N,CN(CC/C=C/1\c2cc(Cl)ccc2Sc2c1cc(Br)cc2)C.Cl,-7.372240766,6.7525,431.217
C62,QQODLKZGRKWIFG-ZAAXVRCTSA-N,N#C[C@@H](c1ccc(c(c1)Oc1ccccc1)F)OC(=O)[C@H]1[C@@H](C1(C)C)C=C(Cl)Cl,-7.3400002,6.31708,434.288
